sample_id,true_language_post_fit,cluster
data/clean/de/Female/620203020_female_german_voice04.wav,de,2
data/clean/de/Female/620203020_female_german_voice13.wav,de,2
data/clean/de/Female/620203020_female_german_voice14.wav,de,2
data/clean/de/Female/620203020_female_german_voice16.wav,de,2
data/clean/de/Female/620203020_female_german_voice17.wav,de,2
data/clean/de/Female/620203020_female_german_voice19.wav,de,2
data/clean/de/Female/810100121_female_german_voice03.wav,de,2
data/clean/de/Female/810100121_female_german_voice04.wav,de,2
data/clean/de/Female/810100121_female_german_voice16.wav,de,2
data/clean/de/Female/810100200_female_german_voice12.wav,de,2
data/clean/de/Female/810100200_female_german_voice13.wav,de,2
data/clean/de/Female/810100200_female_german_voice15.wav,de,7
data/clean/de/Female/810100200_female_german_voice2.wav,de,2
data/clean/de/Female/810100200_female_german_voice5.wav,de,2
data/clean/de/Female/810100200_female_german_voice7.wav,de,2
data/clean/de/Female/810100200_female_german_voice9.wav,de,2
data/clean/de/Female/810101380_female_german_voice1.wav,de,2
data/clean/de/Female/810101380_female_german_voice10.wav,de,2
data/clean/de/Female/810101380_female_german_voice13.wav,de,2
data/clean/de/Female/810101380_female_german_voice14.wav,de,2
data/clean/de/Female/810101380_female_german_voice19.wav,de,2
data/clean/de/Female/810101380_female_german_voice2.wav,de,2
data/clean/de/Female/810101380_female_german_voice6.wav,de,2
data/clean/de/Female/810101380_female_german_voice7.wav,de,2
data/clean/de/Female/810101380_female_german_voice9.wav,de,2
data/clean/de/Female/810101395_female_German_voice16.wav,de,2
data/clean/de/Female/810101395_female_German_voice2.wav,de,2
data/clean/de/Female/810101395_female_German_voice4.wav,de,2
data/clean/de/Female/810101432_female_german_voice02.wav,de,2
data/clean/de/Female/810101432_female_german_voice05.wav,de,2
data/clean/de/Female/810101432_female_german_voice06.wav,de,2
data/clean/de/Female/810101432_female_german_voice09.wav,de,2
data/clean/de/Female/810101432_female_german_voice10.wav,de,2
data/clean/de/Female/810101432_female_german_voice13.wav,de,2
data/clean/de/Female/810101485_female_german_voice02.wav,de,2
data/clean/de/Female/810101485_female_german_voice03.wav,de,2
data/clean/de/Female/810101485_female_german_voice04.wav,de,2
data/clean/de/Female/810101485_female_german_voice06.wav,de,2
data/clean/de/Female/810101485_female_german_voice08.wav,de,2
data/clean/de/Female/810101485_female_german_voice10.wav,de,2
data/clean/de/Female/810101485_female_german_voice11.wav,de,2
data/clean/de/Female/810101485_female_german_voice17.wav,de,2
data/clean/de/Female/810101512_female_German_voice07.mp3.wav,de,2
data/clean/de/Female/810101512_female_German_voice08.mp3.wav,de,2
data/clean/de/Female/810101512_female_German_voice12.mp3.wav,de,2
data/clean/de/Female/810101512_female_German_voice14.mp3.wav,de,2
data/clean/de/Female/810101512_female_German_voice20.mp3.wav,de,2
data/clean/de/Female/810102483_female_german_voice01.wav,de,2
data/clean/de/Female/810102483_female_german_voice06.wav,de,2
data/clean/de/Female/810102483_female_german_voice13.wav,de,2
data/clean/de/Female/810102483_female_german_voice14.wav,de,2
data/clean/de/Female/810102483_female_german_voice16.wav,de,2
data/clean/de/Female/810102543_female_german_voice02.wav,de,2
data/clean/de/Female/810102543_female_german_voice03.wav,de,2
data/clean/de/Female/810102543_female_german_voice05.wav,de,2
data/clean/de/Female/810102543_female_german_voice06.wav,de,2
data/clean/de/Female/810102543_female_german_voice07.wav,de,2
data/clean/de/Female/810102543_female_german_voice10.wav,de,2
data/clean/de/Female/810102543_female_german_voice14.wav,de,2
data/clean/de/Female/810102543_female_german_voice16.wav,de,2
data/clean/de/Female/810102543_female_german_voice17.wav,de,2
data/clean/de/Female/810103084_female_german_voice12.wav,de,2
data/clean/de/Female/810103084_female_german_voice13.wav,de,2
data/clean/de/Female/810103084_female_german_voice15.wav,de,2
data/clean/de/Female/810103084_female_german_voice17.wav,de,2
data/clean/de/Female/810103160_female_german_voice04.wav,de,2
data/clean/de/Female/810103160_female_german_voice05.wav,de,2
data/clean/de/Female/810103160_female_german_voice06.wav,de,2
data/clean/de/Female/810103160_female_german_voice07.wav,de,2
data/clean/de/Female/810103160_female_german_voice20.wav,de,2
data/clean/de/Female/810104049_female_german_voice14.wav,de,2
data/clean/de/Female/810104049_female_german_voice18.wav,de,2
data/clean/de/Female/810104145_female_german_voice01.wav,de,2
data/clean/de/Female/810104145_female_german_voice04.wav,de,2
